# omp v18.1.8 596f2da7101178214aa27a753529d15e6b7ad91d
path	bytes	lines	role	surface
crates/pi-builtins/src/fc.rs	12146	440	src	CRATE-PI-SHELL
crates/pi-builtins/src/fd.rs	48594	1683	src	CRATE-PI-SHELL
crates/pi-builtins/src/fg.rs	2024	70	src	CRATE-PI-SHELL
crates/pi-builtins/src/find.rs	153144	5418	src	CRATE-PI-SHELL
crates/pi-builtins/src/getopts.rs	12420	389	src	CRATE-PI-SHELL
crates/pi-builtins/src/grep.rs	58869	1946	src	CRATE-PI-SHELL
crates/pi-builtins/src/hash.rs	2599	101	src	CRATE-PI-SHELL
crates/pi-builtins/src/head.rs	53979	1630	src	CRATE-PI-SHELL
crates/pi-builtins/src/help.rs	4002	140	src	CRATE-PI-SHELL
crates/pi-builtins/src/history.rs	15251	540	src	CRATE-PI-SHELL
crates/pi-builtins/src/host.rs	51538	1517	src	CRATE-PI-SHELL
crates/pi-builtins/src/hostname.rs	7008	251	src	CRATE-PI-SHELL
crates/pi-builtins/src/ifne.rs	8235	313	src	CRATE-PI-SHELL
crates/pi-builtins/src/isutf8.rs	11608	395	src	CRATE-PI-SHELL
crates/pi-builtins/src/jobs.rs	2929	110	src	CRATE-PI-SHELL
crates/pi-builtins/src/jq-help.txt	1812	40	other	CRATE-PI-SHELL
crates/pi-builtins/src/jq.rs	44255	1550	src	CRATE-PI-SHELL
crates/pi-builtins/src/kill.rs	19461	655	src	CRATE-PI-SHELL
crates/pi-builtins/src/let_.rs	1045	41	src	CRATE-PI-SHELL
crates/pi-builtins/src/lib.rs	8444	313	src	CRATE-PI-SHELL
crates/pi-builtins/src/ln.rs	23041	761	src	CRATE-PI-SHELL
crates/pi-builtins/src/ls.rs	151331	5279	src	CRATE-PI-SHELL
crates/pi-builtins/src/mapfile.rs	6487	220	src	CRATE-PI-SHELL
crates/pi-builtins/src/md5sum.rs	3073	115	src	CRATE-PI-SHELL
crates/pi-builtins/src/mkdir.rs	11615	428	src	CRATE-PI-SHELL
crates/pi-builtins/src/mktemp.rs	24114	805	src	CRATE-PI-SHELL
crates/pi-builtins/src/mv.rs	58439	1976	src	CRATE-PI-SHELL
crates/pi-builtins/src/nohup.rs	7014	218	src	CRATE-PI-SHELL
crates/pi-builtins/src/nproc.rs	5894	206	src	CRATE-PI-SHELL
crates/pi-builtins/src/paste.rs	11772	452	src	CRATE-PI-SHELL
crates/pi-builtins/src/pgrep.rs	3367	106	src	CRATE-PI-SHELL
crates/pi-builtins/src/pidwait.rs	2413	76	src	CRATE-PI-SHELL
crates/pi-builtins/src/pkill.rs	1661	62	src	CRATE-PI-SHELL
crates/pi-builtins/src/popd.rs	933	35	src	CRATE-PI-SHELL
crates/pi-builtins/src/printenv.rs	5634	200	src	CRATE-PI-SHELL
crates/pi-builtins/src/printf.rs	5518	189	src	CRATE-PI-SHELL
crates/pi-builtins/src/proc_match.rs	29763	970	src	CRATE-PI-SHELL
crates/pi-builtins/src/proc_snapshot.rs	40954	1399	src	CRATE-PI-SHELL
crates/pi-builtins/src/ps.rs	42784	1490	src	CRATE-PI-SHELL
crates/pi-builtins/src/pushd.rs	1144	44	src	CRATE-PI-SHELL
crates/pi-builtins/src/pwd.rs	1077	41	src	CRATE-PI-SHELL
crates/pi-builtins/src/read.rs	28891	951	src	CRATE-PI-SHELL
crates/pi-builtins/src/readlink.rs	9861	346	src	CRATE-PI-SHELL
crates/pi-builtins/src/realpath.rs	13663	466	src	CRATE-PI-SHELL
crates/pi-builtins/src/return_.rs	1077	38	src	CRATE-PI-SHELL
crates/pi-builtins/src/rg.rs	62033	2142	src	CRATE-PI-SHELL
crates/pi-builtins/src/rm.rs	51818	1676	src	CRATE-PI-SHELL
crates/pi-builtins/src/sed.rs	277870	9574	src	CRATE-PI-SHELL
crates/pi-builtins/src/seq.rs	28528	922	src	CRATE-PI-SHELL
crates/pi-builtins/src/set.rs	13269	434	src	CRATE-PI-SHELL
crates/pi-builtins/src/sha1sum.rs	817	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/sha224sum.rs	841	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/sha256sum.rs	841	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/sha384sum.rs	841	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/sha512sum.rs	841	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/shift.rs	854	37	src	CRATE-PI-SHELL
crates/pi-builtins/src/shopt.rs	4065	140	src	CRATE-PI-SHELL
crates/pi-builtins/src/sleep.rs	7306	206	src	CRATE-PI-SHELL
